Rank	Gene	HalfLife1	HalfLife2	HalfLife3	AverageHalfLife
1	YCL026C-A	56.1669975726	5.55688067846	198914.367865	66325.3639145
2	YKL162C	49.564492611	46903.3770054	60.0494693932	15670.9969891
3	YDR416W	40212.5550147	23.4925248236	31.7020921201	13422.5832105
4	YHR155W	22.8045739371	21611.8612597	41.5652806469	7225.41037142
5	YDL021W	136.453343799		13946.8481485	7041.65074617
6	YJL207C	11292.7897822		57.0506510333	5674.92021663
7	YOR347C		329.097840894	10988.7317095	5658.9147752
8	YHL024W	52.7025461123	16143.3539013	148.767530937	5448.27465944
9	YDL118W	35.4361659284	12838.3639834	23.5898229847	4299.12999078
10	YGR088W	3365.54205776			3365.54205776
11	YMR153C-A	30.2875466816	9697.4825956	36.5161796503	3254.76210731
12	YDR214W	31.5055648661	88.0619091351	9610.70334775	3243.42360725
13	YGR233C	22.6674569907	9206.27442424	20.6418127395	3083.19456466
14	YGL230C	37.561933643	8986.00734898	28.2842381291	3017.28450692
15	YGR178C	8063.22586383	90.5401334763	36.9320863481	2730.23269455
16	YIR018W	5345.85178056		25.4498798918	2685.65083023
17	YKL086W	81.9051206397	7918.51108051	33.8953271725	2678.10384278
18	YMR186W	77.4944806292	4892.54847729		2485.02147896
19	YGR146C	62.5690017419		4639.08754881	2350.82827528
20	YHR033W	35.7151614528	6884.6622193	24.4995318583	2314.95897087
21	YOR027W	2114.97688623			2114.97688623
22	YMR110C	2398.85863685	3798.15424973	69.1238897249	2088.71225877
23	YGR016W	23.0128775377	6205.66451549	18.2439117694	2082.3071016
24	YPL119C	38.2691135454	156.971323712	6005.4504075	2066.89694825
25	YJL089W	5813.53056793	110.850996115	31.8450621723	1985.40887541
26	YMR204C	54.9587781018	5608.96379522	154.289995873	1939.40418973
27	YGL170C	111.795980058	5126.74608182	131.027633888	1789.85656526
28	YDR503C	219.509987685	5021.72762608	20.0636641358	1753.76709263
29	YNL184C	106.880105095		3260.30288856	1683.59149683
30	YDR016C	57.247460087	4841.73061134	34.5353573632	1644.50447626
31	YAL060W	36.8193521095	4557.77990122	56.6550318096	1550.41809505
32	YGL256W	48.0302406039	4522.98621943	6.01647993041	1525.67764665
33	YGR290W	4506.48230607	10.2843987009	39.1421339896	1518.63627959
34	YLR439W	44.4532418477	16.5605520648	4427.09793424	1496.03724272
35	YNR058W	46.4488219568	4409.098924	25.5340668817	1493.69393761
36	YDL110C	29.4790042194	4332.67261393	41.1839355744	1467.77851791
37	YNL028W	63.3033068912	4171.18963146	46.6986647315	1427.0638677
38	YBR168W	4003.81519692	150.434260779	113.259995601	1422.5031511
39	YMR323W	40.2949165458	4086.44247774	76.8147290247	1401.1840411
40	YGR248W	1384.69902587			1384.69902587
41	YPL192C	2942.83055434	1169.7785966	38.1484979839	1383.58588297
42	YKL161C	2722.62898811		26.4859437594	1374.55746594
43	YER150W	1374.25548274			1374.25548274
44	YPR160W	203.839926914		2528.70775932	1366.27384311
45	YHR023W	26.1671438816	3804.35295583	31.8638794658	1287.46132639
46	YGL136C	31.9686537727	3679.97982424	71.2750712847	1261.07451643
47	YGR236C	622.652408424		1809.25183383	1215.95212113
48	YEL030W		2304.6101594	49.495854997	1177.0530072
49	YBR209W	30.5478834532	3271.37318591	50.6002099453	1117.5070931
50	YCL027W	73.8445690357	3233.75434596	42.4224317511	1116.67378225
51	YBR050C		2001.78351903	85.4418785724	1043.6126988
52	YLR162W	47.2096850519	2332.1134434	735.881892077	1038.40167351
53	YOR297C	64.9995082963	2744.01022377	193.691143949	1000.90029201
54	YEL010W	42.0192803332	2742.62356034	97.0110027107	960.551281128
55	YCR010C	1812.2281901	947.486978073	96.1952903953	951.970152857
56	YPL281C	129.737007079	2652.69281081	42.0315591215	941.487125671
57	YML032C-A	27.8514284689	46.4674161279	2737.46495824	937.261267611
58	YOL119C	403.128110493	2368.11754677	33.5286260087	934.924761091
59	YAR003W	24.5939608577	2635.47054852	108.017716475	922.694075283
60	YLL063C	26.3587609412	2629.53861058	7.95272782428	887.950033116
61	YPR150W	61.7663119293	316.54502575	2264.57824828	880.963195319
62	YDR401W	95.1298256656	2460.74888169	69.015306549	874.964671301
63	YGR066C		934.8227632	773.556625591	854.189694395
64	YHL036W	480.617396227	102.902588122	1830.67547773	804.731820695
65	YDR077W	63.371188732	1473.72251901		768.546853869
66	YLR385C	34.6771285036	83.5130862276	2159.9477644	759.379326378
67	YMR250W	758.574580738			758.574580738
68	YOR393W	57.8153294185	2076.83078893	58.9081399	731.184752751
69	YOR160W	51.3691544974	2051.59415219	70.1629806587	724.375429115
70	YKL035W	124.624231312		1285.35909045	704.991660883
71	YOR382W	31.8673976289	2046.32806183	34.4298326594	704.208430707
72	YKR032W	66.2282380008		1341.99326042	704.11074921
73	YPL279C	85.8678963747	1990.75716206	23.1881999029	699.937752778
