Source	Target	Path	Path Length
LAS1L	RBM6	['LAS1L', 'SUMO2', 'RBM6']	2
LAS1L	UPF1	['LAS1L', 'SIRT7', 'UPF1']	2
LAS1L	SLC25A5	['LAS1L', 'SUMO2', 'SLC25A5']	2
LAS1L	RPS20	['LAS1L', 'UBC', 'RPS20']	2
LAS1L	UTP18	['LAS1L', 'SIRT7', 'UTP18']	2
LAS1L	PTBP1	['LAS1L', 'SUMO2', 'PTBP1']	2
LAS1L	MATR3	['LAS1L', 'SUMO2', 'MATR3']	2
LAS1L	SAMD4A	['LAS1L', 'UBC', 'YWHAG', 'SAMD4A']	3
LAS1L	STRAP	['LAS1L', 'UBC', 'STRAP']	2
LAS1L	SEC63	['LAS1L', 'UBC', 'SEC63']	2
LAS1L	TFB1M	['LAS1L', 'UBC', 'TFB1M']	2
LAS1L	ZCCHC8	['LAS1L', 'SIRT7', 'ZCCHC8']	2
LAS1L	NSUN2	['LAS1L', 'SIRT7', 'NSUN2']	2
LAS1L	SKIV2L2	['LAS1L', 'SIRT7', 'SKIV2L2']	2
LAS1L	STAU2	['LAS1L', 'UBC', 'STAU2']	2
LAS1L	YTHDC2	['LAS1L', 'SIRT7', 'YTHDC2']	2
LAS1L	POLR2B	['LAS1L', 'SUMO2', 'POLR2B']	2
LAS1L	TPR	['LAS1L', 'SIRT7', 'TPR']	2
LAS1L	MAP4	['LAS1L', 'SIRT7', 'MAP4']	2
LAS1L	NOP16	['LAS1L', 'UBC', 'NOP16']	2
LAS1L	PTCD2	['LAS1L', 'UBC', 'PTCD2']	2
LAS1L	RRP12	['LAS1L', 'SIRT7', 'RRP12']	2
LAS1L	MRTO4	['LAS1L', 'SIRT7', 'MRTO4']	2
LAS1L	THRAP3	['LAS1L', 'SUMO2', 'THRAP3']	2
LAS1L	NOP58	['LAS1L', 'SIRT7', 'NOP58']	2
LAS1L	USP36	['LAS1L', 'UBC', 'USP36']	2
LAS1L	MLL3	['LAS1L', 'UBC', 'MLL3']	2
LAS1L	PUM2	['LAS1L', 'UBC', 'PUM2']	2
LAS1L	MRPL43	['LAS1L', 'UBC', 'MRPL43']	2
LAS1L	ZFR	['LAS1L', 'SIRT7', 'ZFR']	2
LAS1L	RC3H2	['LAS1L', 'SUMO2', 'UBE2I', 'RC3H2']	3
LAS1L	ZC3H11A	['LAS1L', 'SUMO2', 'ZC3H11A']	2
LAS1L	PARP12	['LAS1L', 'UBC', 'PARP12']	2
FKBP4	LAS1L	['FKBP4', 'SIRT7', 'LAS1L']	2
FKBP4	RBM6	['FKBP4', 'SIRT7', 'RBM6']	2
FKBP4	UPF1	['FKBP4', 'SIRT7', 'UPF1']	2
