Symbol	Degree	Clustering Coefficient
1700006A11Rik	1	0.0
1810055G02Rik	3	0.0
2810046L04Rik	2	0.0
4922501C03Rik	1	0.0
4930572J05Rik	6	0.0
9830001H06Rik	9	0.138888888889
A1BG	7	0.047619047619
A1CF	6	0.133333333333
A2M	36	0.0126984126984
AAAS	1	0.0
AACS	1	0.0
AADAC	1	0.0
AAGAB	2	1.0
AAMP	5	0.3
AANAT	1	0.0
AARS	2	0.0
AARS2	2	1.0
AARSD1	2	1.0
AASDHPPT	5	0.4
AASS	4	0.5
AATF	21	0.109523809524
AATK	2	0.0
ABCA1	17	0.110294117647
ABCA13	2	0.0
ABCA2	3	0.666666666667
ABCA3	1	0.0
ABCA4	1	0.0
ABCA7	1	0.0
ABCB1	3	0.666666666667
ABCB10	1	0.0
ABCB11	1	0.0
ABCB6	3	0.333333333333
ABCB7	4	0.333333333333
ABCB8	2	1.0
ABCB9	1	0.0
ABCC1	3	0.666666666667
ABCC10	1	0.0
ABCC12	1	0.0
ABCC2	5	0.3
ABCC3	1	0.0
ABCC4	2	1.0
ABCC5	1	0.0
ABCC8	2	0.0
ABCC9	2	0.0
ABCD1	8	0.321428571429
ABCD2	4	0.5
ABCD3	13	0.128205128205
ABCD4	4	0.333333333333
ABCE1	8	0.25
ABCF1	5	0.5
ABCF2	2	1.0
ABCF3	8	0.25
ABCG1	1	0.0
ABCG2	2	0.0
ABCG5	1	0.0
ABCG8	1	0.0
ABHD10	3	0.666666666667
ABHD11	1	0.0
ABHD12	1	0.0
ABHD14B	1	0.0
ABHD16A	12	0.136363636364
ABHD2	1	0.0
ABHD3	1	0.0
ABHD4	3	0.666666666667
ABHD5	1	0.0
ABHD6	1	0.0
ABI1	16	0.158333333333
ABI2	16	0.158333333333
ABI3	13	0.0384615384615
ABI3BP	3	0.0
ABL1	92	0.0739076154806
ABL2	10	0.155555555556
ABLIM1	14	0.131868131868
ABLIM2	1	0.0
ABLIM3	1	0.0
ABT1	1	0.0
ABTB1	1	0.0
ABTB2	5	0.6
ABZ2	1	0.0
ACAA1	1	0.0
