Rank	GeneID	Score
1	b3171	14.543282837
2	16128258	14.3919852262
3	16132076	13.8041985613
4	16131126	13.2344304019
5	16131238	13.0898491731
6	16129301	12.7010511175
7	16128684	12.5367480662
8	16131795	12.3967019925
9	16130583	12.3967019925
10	16128026	11.9083492246
11	16129126	11.9042255074
12	49176132	11.8072332414
13	16132077	11.6547646478
14	16128462	11.5306010052
15	16131312	11.362628225
16	b4451	11.362628225
17	16128105	11.3009427728
18	16131247	11.091613205
19	16131884	11.0450931894
20	16131392	11.0450931894
21	16128650	10.9768849394
22	16129601	10.9580818124
23	90111311	10.9580818124
24	90111175	10.8656247016
25	16132166	10.8139814684
26	90111703	10.7776946291
27	16128795	10.5106318438
28	16128628	10.5038265401
29	16128106	10.482044387
30	90111372	10.4797793803
31	145698223	10.4659653968
32	16131021	10.4462566883
33	90111679	10.4030011796
34	16128695	10.3738308023
35	16128685	10.2676856652
36	90111440	10.218895501
37	16128828	10.2078456649
38	16131796	10.1024851492
39	90111743	10.0642639364
40	16131967	9.95378020321
41	16131968	9.95378020321
42	16132026	9.94648090073
43	16128906	9.91808142621
44	16130002	9.85570587609
45	16129563	9.82445333258
46	16130722	9.72779169976
47	16129188	9.70531884391
48	16131845	9.68865179142
49	16128803	9.68511613659
50	90111655	9.63248151996
51	16128918	9.61957811512
52	16129501	9.59571379577
53	16129139	9.59426030714
54	16130030	9.59265902577
55	16130031	9.59265902577
56	16130923	9.58329127577
57	16131152	9.58183778714
58	16130244	9.57226833612
59	16128057	9.50633023463
60	16130396	9.47647727148
61	16129661	9.44876038281
62	16131999	9.43919093179
63	90111424	9.43919093179
64	16131388	9.42038780483
65	90111221	9.40488361829
66	16128295	9.37111675582
67	16128807	9.32686174682
68	16129225	9.32232659165
69	16130751	9.3005444385
70	16129702	9.2748878805
71	16129341	9.23531521466
72	16129284	9.19449322014
73	16131316	9.17555601912
74	16131317	9.17555601912
75	16131908	9.16255869553
76	145698342	9.16255869553
77	90111361	9.16087660934
78	b4427	9.15105487105
79	90111492	9.13860545451
80	16130791	9.13270573238
81	90111331	9.13270573238
82	16130461	9.11023287653
83	16129852	9.09081479067
84	16129146	9.08981529034
85	90111449	9.08343468337
86	90111563	9.08024583932
87	b4430	9.06734243448
88	226524718	9.06734243448
89	16129778	9.06724851572
90	16131699	9.05039287617
91	16129078	9.04569435539
92	16128132	9.02367548783
93	16128631	9.01797746672
94	16129743	9.01352311637
95	16130887	8.95038417558
96	16129917	8.93487998905
97	16130458	8.93260984051
98	16128548	8.92976488838
99	16128424	8.91686148355
100	b4439	8.91686148355
101	90111626	8.90956218106
102	16128211	8.8938138241
103	16128212	8.8938138241
104	162135907	8.88608982488
105	16129151	8.86907081971
106	16131503	8.86097371791
107	16129959	8.86077201689
108	16130541	8.86077201689
109	16129960	8.86077201689
110	16130424	8.85652748441
111	16131407	8.85072168104
112	16131949	8.82608645891
113	16132114	8.82608645891
114	16130412	8.81150096789
115	16128956	8.7948339154
116	94541112	8.79256376687
117	90111292	8.79256376687
118	145698229	8.79256376687
119	16131383	8.78478357955
120	16130998	8.7824113954
121	16128134	8.77236105955
122	90111166	8.76951610742
123	16131611	8.75709358742
124	16129614	8.75355793259
125	16130368	8.74980739888
126	16132068	8.74604375123
127	16132067	8.74604375123
128	90111581	8.74604375123
129	145698256	8.72724062427
130	16129099	8.72617167708
131	16131873	8.71619078808
132	49176497	8.71579070806
133	16129371	8.71492013988
134	16131932	8.70522175671
135	16128547	8.70092331595
136	16128735	8.6995237356
137	16130180	8.65903237424
138	b4426	8.65724825245
139	16129157	8.64492776806
140	16131715	8.64168273591
141	90111147	8.63714758074
142	90111243	8.62088060828
143	16128444	8.61251235861
144	226524713	8.61251235861
145	16130930	8.60294290759
146	b4417	8.60246202276
147	16131244	8.60100853413
148	16128482	8.59733880524
149	16128590	8.58265939546
150	90111198	8.58047005174
151	226524720	8.57477203063
152	90111190	8.57308994444
153	16132059	8.56893933072
154	16128926	8.56472169477
155	16129280	8.56372219444
156	16129826	8.55188773679
157	16128266	8.54124933859
158	16131368	8.53386923129
159	16131063	8.52656992881
160	16132195	8.52550098162
161	16128734	8.52290019992
162	16129018	8.52290019992
163	16129216	8.5159315306
164	16130554	8.51139637544
165	16129029	8.4971015071
166	16129898	8.49564801847
167	16128034	8.4940467371
168	16131501	8.49345867475
169	16130667	8.49188437082
170	16130745	8.49019416779
171	16131714	8.47411003575
172	16128007	8.45650811013
173	16129433	8.43588882293
174	90111532	8.40603585978
175	16128747	8.40041864348
176	16128213	8.39588348832
177	90111702	8.38809815909
178	16131496	8.37420337077
179	16131342	8.36874952009
180	16131787	8.36405099931
181	16130886	8.36236891313
182	16128655	8.36178085078
183	16130647	8.35162847931
184	226524765	8.35014809414
185	90111564	8.33419803616
186	145698329	8.33134496718
187	162135906	8.32747353728
188	16131881	8.32483028616
189	16131446	8.30965673279
190	145698338	8.3023574303
191	90111267	8.3023574303
192	16132041	8.28894352682
193	16128694	8.28708995817
194	16130901	8.2817381431
195	16129995	8.27604012199
196	16131014	8.27250446716
197	16128433	8.27250446716
198	90111250	8.26293501614
199	49176004	8.25769098332
200	90111097	8.25769098332
201	16128418	8.2474308296
202	16129130	8.24206344165
203	16128217	8.24173280849
204	90111678	8.238299794
205	16130026	8.23336455882
206	16129020	8.22824945815
207	16130266	8.20804675083
208	16131050	8.185973975
209	16129000	8.18004735633
210	b2189	8.17819378768
211	90111512	8.17452405879
212	16131775	8.16395510745
213	16129261	8.16347422261
214	16128980	8.15825708633
215	16128780	8.1547214315
216	b4603	8.15372193117
217	16130096	8.15087697903
218	16131133	8.14868763531
219	16131608	8.14675326185
220	b4608	8.14660546911
221	145698308	8.14515198048
222	145698244	8.14415248015
223	16132161	8.13293927835
224	16132135	8.12713347498
225	90111192	8.12700454283
226	16131767	8.12119873946
227	16131903	8.11289993665
228	145698281	8.10946692216
229	16129247	8.10878433631
230	145698299	8.1030863152
231	16131314	8.09941658631
232	16128121	8.09863196485
233	16128904	8.09715157968
234	145698241	8.09371856519
235	16130684	8.09018291036
236	16129858	8.08926421484
237	16129414	8.08641926271
238	16131101	8.08188410755
239	16130104	8.07921387899
240	16130630	8.07694373046
241	90111645	8.07491543823
242	16129461	8.07124570934
243	90111083	8.06246602169
244	16129847	8.05780997033
245	90111739	8.05429615103
246	90111154	8.05429615103
247	49176247	8.05289657067
248	90111214	8.05289657067
249	16130590	8.04936091584
250	90111642	8.04569118695
251	16128241	8.0358775655
252	16129237	8.02757876269
253	145698318	8.02119003887
254	16130543	8.01515624269
255	145698312	8.01467535785
256	16128596	8.01467535785
257	16128832	8.01014020269
258	16131161	8.00332178504
259	16131874	7.99680710402
