Rank	GeneID	Score
1	b3171	14.543282837
2	16128258	14.3919852262
3	16132076	13.8041985613
4	16131126	13.2344304019
5	16131238	13.0898491731
6	16129301	12.7010511175
7	16128684	12.5367480662
8	16131795	12.3967019925
9	16130583	12.3967019925
10	16128026	11.9083492246
11	16129126	11.9042255074
12	49176132	11.8072332414
13	16132077	11.6547646478
14	16128462	11.5306010052
15	16131312	11.362628225
16	b4451	11.362628225
17	16128105	11.3009427728
18	16131247	11.091613205
19	16131884	11.0450931894
20	16131392	11.0450931894
21	16128650	10.9768849394
22	16129601	10.9580818124
23	90111311	10.9580818124
24	90111175	10.8656247016
25	16132166	10.8139814684
26	90111703	10.7776946291
27	16128795	10.5106318438
28	16128628	10.5038265401
29	16128106	10.482044387
30	90111372	10.4797793803
