#Operon 	Genes in Operon
1 	[('16077071', 3206, 3421, '+', 'yaaA'), ('16077072', 3437, 4549, '+', 'recF'), ('255767014', 4567, 4812, '+', 'yaaB')]
2 	[('16077079', 19062, 19946, '+', 'yaaD'), ('16077080', 19968, 20558, '+', 'yaaE')]
3 	[('16077082', 22496, 23149, '-', 'dck'), ('16077083', 23146, 23769, '-', 'dgk')]
4 	[('255767015', 26814, 28505, '+', 'dnaX'), ('16077088', 28529, 28852, '+', 'yaaK'), ('16077089', 28867, 29463, '+', 'recR'), ('16077090', 29481, 29705, '+', 'yaaL')]
5 	[('16077093', 35845, 36459, '+', 'xpaC'), ('16077094', 36478, 37638, '+', 'yaaN')]
6 	[('16077095', 37720, 39162, '+', 'yaaO'), ('255767017', 39159, 39797, '+', 'tmk')]
7 	[('16077097', 39871, 40200, '+', 'yaaQ'), ('16077098', 40213, 40653, '+', 'yaaR'), ('16077099', 40665, 41654, '+', 'holB'), ('16077100', 41657, 42484, '+', 'yaaT'), ('16077101', 42499, 42858, '+', 'yabA')]
8 	[('16077102', 42917, 43660, '+', 'yabB'), ('16077103', 43647, 43946, '+', 'yazA'), ('16077104', 43921, 44799, '+', 'yabC')]
9 	[('16077109', 50087, 50647, '+', 'rnmV'), ('16077110', 50640, 51518, '+', 'ksgA')]
10 	[('16077115', 54441, 55298, '+', 'purR'), ('16077116', 55295, 55672, '+', 'yabJ')]
11 	[('16077118', 56352, 57722, '+', 'glmU'), ('16077119', 57745, 58698, '+', 'prs')]
12 	[('16077125', 64817, 66415, '+', 'yabM'), ('16077126', 66405, 67874, '+', 'yabN'), ('16077127', 67877, 68137, '+', 'yabO')]
13 	[('16077128', 68216, 68518, '+', 'yabP'), ('16077129', 68515, 69150, '+', 'yabQ'), ('16077130', 69168, 69545, '+', 'divIC')]
14 	[('16077133', 73106, 73843, '+', 'yabS'), ('50812174', 73809, 74825, '+', 'yabT')]
15 	[('16077135', 74929, 76347, '+', 'tilS'), ('16077136', 76344, 76886, '+', 'hprT')]
16 	[('255767018', 79092, 79868, '+', 'coaX'), ('16077139', 79880, 80755, '+', 'hslO'), ('16077140', 80802, 81695, '+', 'yacD')]
17 	[('16077142', 82864, 84276, '+', 'pabB'), ('16077143', 84290, 84874, '+', 'pabA'), ('16077144', 84874, 85755, '+', 'pabC'), ('16077145', 85737, 86594, '+', 'sul'), ('16077146', 86587, 86949, '+', 'folB'), ('16077147', 86946, 87449, '+', 'folK'), ('16077148', 87401, 87610, '+', 'yazB'), ('16077149', 87634, 88635, '+', 'dusB')]
18 	[('16077151', 101449, 101913, '+', 'ctsR'), ('16077152', 101927, 102484, '+', 'mcsA'), ('16077153', 102484, 103575, '+', 'mcsB'), ('16077154', 103572, 106004, '+', 'clpC')]
19 	[('16077155', 106096, 107472, '+', 'radA'), ('16077156', 107476, 108558, '+', 'yacK')]
20 	[('16077157', 108674, 109774, '+', 'yacL'), ('16077158', 109789, 110487, '+', 'ispD'), ('16077159', 110480, 110956, '+', 'ispF')]
