#Operon 	Genes in Operon
1 	[('15789341', 248, 1453, '+', '-'), ('15789342', 1450, 2115, '+', 'yvrO'), ('15789343', 2145, 3254, '+', '-')]
2 	[('15789345', 5646, 7451, '-', 'glmS'), ('15789346', 7454, 8641, '-', 'graD5'), ('15789347', 8655, 9860, '-', 'graD2')]
3 	[('15789358', 18357, 18902, '+', '-'), ('15789359', 18895, 19530, '+', '-')]
4 	[('15789367', 26648, 29008, '+', '-'), ('15789368', 29046, 29429, '+', '-')]
5 	[('15789369', 29476, 29913, '-', '-'), ('15789370', 29913, 30014, '-', '-')]
6 	[('15789372', 31838, 32086, '+', '-'), ('15789373', 32101, 32355, '+', '-')]
7 	[('15789375', 33182, 33628, '-', '-'), ('15789376', 33610, 33915, '-', '-')]
8 	[('15789378', 36321, 36713, '+', '-'), ('15789379', 36715, 37971, '+', '-'), ('15789380', 38017, 39432, '+', '-')]
9 	[('15789383', 41880, 42659, '+', '-'), ('15789384', 42707, 44149, '+', '-')]
10 	[('15789400', 64976, 65206, '+', '-'), ('15789401', 65203, 65472, '+', '-')]
11 	[('15789403', 66054, 66251, '+', '-'), ('15789404', 66241, 66534, '+', '-')]
12 	[('16554458', 74752, 76647, '-', 'moeA2'), ('15789416', 76644, 77867, '-', 'moeA1')]
13 	[('15789417', 77923, 78660, '-', 'pimT1'), ('15789418', 78683, 79597, '-', '-')]
14 	[('15789429', 87668, 89167, '+', 'rmeM'), ('15789430', 89160, 90587, '+', 'rmeS')]
15 	[('15789431', 90639, 93641, '+', 'rmeR'), ('15789432', 93634, 94359, '+', '-')]
16 	[('15789437', 102034, 102309, '-', '-'), ('15789438', 102309, 102692, '-', '-')]
17 	[('15789439', 102863, 103021, '-', '-'), ('15789440', 103021, 103146, '-', '-')]
18 	[('15789442', 104073, 106001, '+', 'trp1'), ('15789443', 106009, 106791, '+', '-')]
19 	[('15789444', 106803, 107189, '-', '-'), ('15789445', 107233, 107562, '-', '-')]
20 	[('15789451', 112247, 112699, '+', 'hpyA'), ('15789452', 112696, 113712, '+', 'aup')]
21 	[('15789458', 117867, 118271, '-', '-'), ('15789459', 118287, 118700, '-', '-')]
22 	[('15789462', 119759, 120226, '-', '-'), ('15789463', 120254, 120364, '-', '-')]
23 	[('15789465', 122890, 123561, '-', '-'), ('15789466', 123558, 123839, '-', '-')]
