#Operon 	Genes in Operon
1 	[('384435243', 15937, 16743, '+', 'fecE'), ('384435244', 16740, 17687, '+', 'fecB')]
2 	[('384435247', 21838, 23121, '-', 'sll1204'), ('384435248', 23139, 24104, '-', 'sll1203'), ('384435249', 24101, 25144, '-', 'sll1202')]
3 	[('384435254', 32524, 32952, '-', 'sll1405'), ('384435255', 32912, 33544, '-', 'exbB')]
4 	[('384435260', 39802, 42363, '+', 'fhuA'), ('384435261', 42405, 43397, '+', 'fecB')]
5 	[('384435262', 43571, 44506, '+', 'fecB'), ('384435263', 44442, 44885, '+', 'slr1493')]
6 	[('384435266', 48067, 48408, '-', 'sll1400'), ('384435267', 48405, 48635, '-', 'ssl2733'), ('384435268', 48663, 49868, '-', 'sll1399'), ('384435269', 49893, 50231, '-', 'psbW')]
7 	[('384435274', 55669, 56550, '-', 'rfbD'), ('384435275', 56556, 57224, '-', 'msrA')]
8 	[('384435280', 61834, 63591, '+', 'slr1114'), ('384435281', 63588, 64361, '+', 'slr1115'), ('384435282', 64393, 64914, '+', 'slr1116')]
9 	[('384435288', 70016, 70393, '-', 'sll1062'), ('384435289', 70420, 70935, '-', 'sll1061'), ('384435290', 70944, 74042, '-', 'sll1060'), ('384435291', 73978, 74229, '-', 'ssl2069')]
10 	[('384435299', 81696, 82259, '-', 'sll1054'), ('384435300', 82291, 83853, '-', 'sll1053')]
11 	[('384435317', 102930, 105110, '-', 'sll0710'), ('384435318', 105151, 106539, '-', 'sll0709')]
12 	[('384435320', 108290, 109201, '+', 'slr0722'), ('384435321', 109222, 110313, '+', 'slr0723')]
13 	[('384435327', 114874, 115272, '+', 'slr0730'), ('384435328', 115269, 116477, '+', 'slr0731')]
14 	[('384435331', 118333, 119532, '-', 'sll0703'), ('384435332', 119570, 119962, '-', 'sll0702')]
15 	[('384435337', 123501, 123995, '-', 'sll0700'), ('384435338', 123989, 124348, '-', 'sll0699')]
16 	[('384435349', 134437, 137442, '+', 'infB'), ('384435350', 137444, 138112, '+', 'slr0236')]
17 	[('384435355', 142559, 142981, '+', 'slr0240'), ('384435356', 142981, 143826, '+', 'slr0241')]
18 	[('384435357', 144061, 144543, '+', 'bcp'), ('384435358', 144554, 145081, '+', 'slr0243')]
19 	[('384435363', 148022, 148942, '-', 'sll0228'), ('384435364', 148943, 149683, '-', 'ppiB')]
20 	[('384435366', 150594, 152132, '-', 'sll0225'), ('384435367', 152154, 153050, '-', 'sll0224')]
21 	[('384435369', 154143, 154679, '+', 'slr0250'), ('384435370', 154703, 155461, '+', 'slr0251'), ('384435371', 155473, 156258, '+', 'cobK')]
22 	[('384435373', 156741, 157013, '-', 'ssl0410'), ('384435374', 157050, 158615, '-', 'ndhB')]
23 	[('384435376', 159812, 159961, '-', 'sgl0002'), ('384435377', 160004, 160093, '-', 'petN')]
24 	[('384435382', 165871, 166389, '-', 'sll0218'), ('384435383', 166416, 168152, '-', 'sll0217')]
25 	[('384435389', 174586, 175143, '-', 'atpD'), ('384435390', 175143, 175682, '-', 'atpF'), ('384435391', 175708, 176139, '-', 'atpG')]
26 	[('384435396', 179734, 181047, '+', 'slr1414'), ('384435397', 181073, 182221, '+', 'slr1415')]
27 	[('384435400', 183935, 184924, '-', 'sll1319'), ('384435401', 184968, 185636, '-', 'sll1318')]
28 	[('384435402', 185772, 186554, '-', 'sll1041'), ('384435403', 186601, 188898, '-', 'sll1040')]
29 	[('384435408', 192870, 194306, '+', 'phdD'), ('384435409', 194310, 194801, '+', 'slr1097')]
30 	[('384435415', 200405, 202525, '+', 'slr1103'), ('384435416', 202554, 204395, '+', 'slr1104')]
31 	[('384435425', 215504, 216229, '-', 'ccmN'), ('384435426', 216264, 218273, '-', 'ccmM')]
32 	[('384435427', 218407, 218709, '-', 'ccmL'), ('384435428', 218742, 219077, '-', 'ccmK1')]
33 	[('384435431', 221742, 223067, '+', 'ank'), ('384435432', 223018, 223596, '+', 'slr1110')]
34 	[('384435435', 226928, 227098, '+', 'ssr2972'), ('384435436', 227123, 227899, '+', 'slr1773'), ('384435437', 227943, 228812, '+', 'slr1774')]
35 	[('384435442', 234905, 236356, '-', 'cad'), ('384435443', 236356, 237438, '-', 'sll1682')]
36 	[('384435444', 237600, 238325, '+', 'pdxJ'), ('384435445', 238344, 238745, '+', 'slr1780')]
37 	[('384435446', 238804, 240327, '-', 'sll1681'), ('384435447', 240299, 240829, '-', 'msrB'), ('384435448', 240863, 242047, '-', 'hhoA')]
38 	[('384435456', 249062, 250117, '+', 'slr1788'), ('384435457', 250160, 251641, '+', 'slr1789')]
39 	[('384435458', 251758, 253116, '-', 'sll1673'), ('384435459', 253125, 255629, '-', 'sll1672')]
40 	[('384435474', 268789, 269727, '-', 'sll1664'), ('384435475', 269773, 270435, '-', 'sll1663'), ('384435476', 270476, 271369, '-', 'pheA')]
41 	[('384435483', 279512, 280087, '-', 'sll1656'), ('384435484', 280127, 280951, '-', 'birA'), ('384435485', 280970, 281443, '-', 'sll1654')]
42 	[('384435488', 283060, 284487, '+', 'icd'), ('384435489', 284508, 285080, '+', 'slr1290')]
43 	[('384435496', 292790, 293485, '-', 'trmD'), ('384435497', 293496, 293669, '-', 'ssl2384')]
44 	[('384435504', 302367, 302789, '-', 'sll1192'), ('384435505', 302786, 303190, '-', 'sll1191')]
45 	[('384435507', 303939, 305546, '+', 'slr1301'), ('384435508', 305595, 306824, '+', 'slr1302'), ('384435509', 306844, 308076, '+', 'slr1303')]
46 	[('384435514', 314255, 315106, '-', 'lgt'), ('384435515', 315134, 315784, '-', 'sll1186')]
47 	[('384435527', 327604, 327981, '-', 'sll0939'), ('384435528', 328006, 329181, '-', 'sll0938'), ('384435529', 329222, 329521, '-', 'ssl1792'), ('384435530', 329555, 331060, '-', 'sll0936')]
48 	[('384435534', 335819, 336295, '-', 'sll0933'), ('384435535', 336313, 336582, '-', 'rps15')]
49 	[('384435538', 338503, 339096, '-', 'sll0930'), ('384435539', 339140, 339625, '-', 'apcD')]
50 	[('384435541', 341135, 342139, '-', 'dusA'), ('384435542', 342151, 342759, '-', 'sll0925')]
51 	[('384435548', 348701, 349429, '+', 'slr0976'), ('384435549', 349468, 350298, '+', 'slr0977')]
52 	[('384435553', 352263, 353555, '+', 'rfbB'), ('384435554', 353552, 354322, '+', 'rfbF'), ('384435555', 354323, 355405, '+', 'rfbG'), ('384435556', 355424, 355993, '+', 'rfbC'), ('384435557', 355909, 357210, '+', 'slr1610'), ('384435558', 357245, 357697, '+', 'slr1611')]
53 	[('384435562', 360030, 361166, '+', 'rfbE'), ('384435563', 361163, 362188, '+', 'slr1616'), ('384435564', 362185, 363420, '+', 'slr1617'), ('384435565', 363433, 364218, '+', 'slr1618'), ('384435566', 364247, 364996, '+', 'slr1619')]
54 	[('384435568', 365716, 367785, '+', 'slr1063'), ('384435569', 367807, 368910, '+', 'rfbU')]
55 	[('384435571', 370285, 371490, '+', 'slr1066'), ('384435572', 371487, 372509, '+', 'galE')]
56 	[('384435574', 373231, 373644, '+', 'slr1069'), ('384435575', 373654, 374511, '+', 'slr1070')]
57 	[('384435576', 374646, 375452, '+', 'slr1071'), ('384435577', 375470, 376432, '+', 'yefA')]
58 	[('384435578', 376485, 377639, '+', 'slr1073'), ('384435579', 377620, 378951, '+', 'slr1074')]
59 	[('384435581', 380030, 381175, '+', 'slr1076'), ('384435582', 381177, 382337, '+', 'slr1077')]
60 	[('384435583', 382392, 382646, '+', 'ssr1765'), ('384435584', 382643, 382873, '+', 'ssr1766')]
61 	[('384435585', 382949, 383266, '+', 'galE'), ('384435586', 383300, 383794, '+', 'slr1079')]
62 	[('384435588', 384343, 384975, '+', 'slr1081'), ('384435589', 384980, 385390, '+', 'slr1082')]
63 	[('384435594', 389175, 390353, '-', 'sll1025'), ('384435595', 390353, 390634, '-', 'ssl1972')]
64 	[('384435597', 391899, 393104, '-', 'sucC'), ('384435598', 393121, 393849, '-', 'sll1022')]
65 	[('384435599', 393996, 396017, '-', 'sll1021'), ('384435600', 396057, 396941, '-', 'sll1020')]
