#Operon 	Genes in Operon
1 	[('HCP21_748_', 3, 146, '-', '2099447579'), ('HCP21_5716', 41, 313, '-', '2099447580'), ('HCP21_5491', 232, 309, '-', '2099447581')]
2 	[('HCP21_5089', 81, 530, '+', '2099447582'), ('HCP21_5196', 1, 312, '+', '2099447583')]
3 	[('HCP21_10684', 77, 361, '+', '2099447585'), ('HCP21_9072', 3, 320, '+', '2099447586')]
4 	[('HCP21_3188', 19, 474, '+', '2099447588'), ('HCP21_6792', 2, 718, '+', '2099447589'), ('HCP21_267_', 253, 312, '+', '2099447590')]
5 	[('HCP21_2940', 1, 159, '-', '2099447591'), ('HCP21_2940', 192, 371, '-', '2099447592')]
6 	[('HCP21_7879', 19, 315, '-', '2099447594'), ('HCP21_2284', 3, 320, '-', '2099447595')]
7 	[('HCP21_4103', 2, 454, '+', '2099447598'), ('HCP21_2_11864', 90, 191, '+', '2099447599'), ('HCP21_2_42524', 1, 111, '+', '2099447600'), ('HCP21_2_45524', 1, 126, '+', '2099447601'), ('HCP21_2_52024', 2, 178, '+', '2099447602'), ('HCP21_2_54024', 2, 208, '+', '2099447603')]
8 	[('HCP21_2_70553', 3, 104, '-', '2099447608'), ('HCP21_2_73553', 3, 109, '-', '2099447609'), ('HCP21_2_79053', 73, 171, '-', '2099447610'), ('HCP21_2_79553', 2, 180, '-', '2099447611'), ('HCP21_2_88207', 6, 125, '-', '2099447612'), ('HCP21_2_88707', 28, 132, '-', '2099447613'), ('HCP21_2_91707', 2, 180, '-', '2099447614'), ('HCP21_2_93207', 7, 225, '-', '2099447615')]
9 	[('HCP21_2_108978', 14, 99, '+', '2099447616'), ('HCP21_2_110478', 4, 108, '+', '2099447617')]
10 	[('HCP21_2_125726', 2, 117, '-', '2099447618'), ('HCP21_2_129226', 3, 154, '-', '2099447619'), ('HCP21_2_138405', 3, 119, '-', '2099447620'), ('HCP21_2_145905', 13, 180, '-', '2099447621')]
11 	[('HCP21_2_160258', 4, 165, '+', '2099447624'), ('HCP21_8563', 2, 310, '+', '2099447625')]
12 	[('HCP21_635_', 2, 499, '+', '2099447627'), ('HCP21_5227', 2, 658, '+', '2099447628'), ('HCP21_8582', 2, 361, '+', '2099447629')]
13 	[('HCP21_8920', 3, 1085, '-', '2099447630'), ('HCP21_187_', 3, 305, '-', '2099447631'), ('HCP21_6522', 194, 601, '-', '2099447632')]
14 	[('HCP21_1062', 2, 283, '+', '2099447635'), ('HCP21_7322', 2, 769, '+', '2099447636')]
15 	[('HCP21_543_', 2, 61, '-', '2099447639'), ('HCP21_3072', 36, 362, '-', '2099447640')]
16 	[('HCP21_118_', 42, 788, '+', '2099447641'), ('HCP21_118_', 793, 2529, '+', '2099447642'), ('HCP21_118_', 2540, 3247, '+', '2099447643')]
17 	[('HCP21_6212', 83, 418, '-', '2099447644'), ('HCP21_5734', 3, 605, '-', '2099447645'), ('HCP21_3793', 3, 335, '-', '2099447646')]
18 	[('HCP21_8613', 90, 461, '+', '2099447647'), ('HCP21_3460', 1, 420, '+', '2099447648'), ('HCP21_8213', 1, 345, '+', '2099447649')]
19 	[('HCP21_1_1_newblercontig13287', 3, 242, '-', '2099447652'), ('HCP21_2_865', 20, 97, '-', '2099447653')]
20 	[('HCP21_2_17698', 14, 109, '+', '2099447656'), ('HCP21_2_24198', 1, 165, '+', '2099447657')]
21 	[('HCP21_2_24698', 32, 172, '-', '2099447658'), ('HCP21_2_32923', 4, 126, '-', '2099447659'), ('HCP21_2_35423', 2, 153, '-', '2099447660')]
22 	[('HCP21_2_46525', 1, 133, '+', '2099447661'), ('HCP21_2_48525', 2, 145, '+', '2099447662'), ('HCP21_2_50025', 6, 158, '+', '2099447663'), ('HCP21_2_60911', 2, 115, '+', '2099447664')]
23 	[('HCP21_2_63911', 3, 134, '+', '2099447666'), ('HCP21_2_65411', 20, 139, '+', '2099447667')]
24 	[('HCP21_2_67411', 3, 185, '-', '2099447668'), ('HCP21_2_68411', 6, 215, '-', '2099447669')]
25 	[('HCP21_2_94880', 4, 102, '+', '2099447670'), ('HCP21_2_101880', 11, 148, '+', '2099447671')]
26 	[('HCP21_2_111479', 1, 125, '-', '2099447672'), ('HCP21_2_114479', 2, 150, '-', '2099447673')]
27 	[('HCP21_2_118979', 13, 222, '+', '2099447676'), ('HCP21_2_126727', 3, 128, '+', '2099447677'), ('HCP21_2_140406', 5, 124, '+', '2099447678')]
28 	[('HCP21_192_', 3, 363, '-', '2099447683'), ('HCP21_8515', 78, 434, '-', '2099447684')]
29 	[('HCP21_4461', 290, 394, '+', '2099447686'), ('HCP21_10828', 40, 423, '+', '2099447687')]
30 	[('HCP21_135_', 3223, 3894, '-', '2099447690'), ('HCP21_5420', 2, 121, '-', '2099447691')]
31 	[('HCP21_1801', 2, 328, '+', '2099447695'), ('HCP21_1838', 2, 400, '+', '2099447696')]
32 	[('HCP21_2321', 190, 357, '+', '2099447700'), ('HCP21_4172', 1, 204, '+', '2099447701'), ('HCP21_3151', 1, 108, '+', '2099447702')]
33 	[('HCP21_6018', 201, 350, '+', '2099447705'), ('HCP21_6018', 366, 584, '+', '2099447706')]
34 	[('HCP21_1_1_newblercontig11123', 3, 194, '-', '2099447709'), ('HCP21_1_1_newblercontig11666', 3, 185, '-', '2099447710'), ('HCP21_1_1_newblercontig14864', 3, 140, '-', '2099447711'), ('HCP21_2_10374', 5, 166, '-', '2099447712')]
35 	[('HCP21_2_23707', 3, 157, '-', '2099447714'), ('HCP21_2_27432', 3, 100, '-', '2099447715')]
