#Operon 	Genes in Operon
1 	[('16127996', 337, 2799, '+', 'thrA'), ('16127997', 2801, 3733, '+', 'thrB'), ('16127998', 3734, 5020, '+', 'thrC')]
2 	[('16128005', 10643, 11356, '-', 'yaaW'), ('16128007', 11382, 11786, '-', 'yaaI')]
3 	[('16128012', 16751, 16960, '-', 'mokC'), ('49175991', 16751, 16903, '-', 'hokC')]
4 	[('16128015', 19811, 20314, '-', 'insB'), ('16128016', 20233, 20508, '-', 'insA')]
5 	[('16128018', 21181, 21399, '+', 'yaaY'), ('16128019', 21407, 22348, '+', 'ribF'), ('16128020', 22391, 25207, '+', 'ileS'), ('16128021', 25207, 25701, '+', 'lspA')]
6 	[('16128022', 25826, 26275, '+', 'fkpB'), ('16128023', 26277, 27227, '+', 'ispH')]
7 	[('16128026', 29651, 30799, '+', 'carA'), ('16128027', 30817, 34038, '+', 'carB')]
8 	[('90111080', 34781, 35371, '-', 'caiE'), ('221800779', 35377, 36162, '-', 'caiD')]
9 	[('16128033', 39244, 40386, '-', 'caiA'), ('16128034', 40417, 41931, '-', 'caiT')]
10 	[('90111081', 42403, 43173, '+', 'fixA'), ('16128036', 43188, 44129, '+', 'fixB')]
11 	[('16128037', 44180, 45466, '+', 'fixC'), ('16128038', 45463, 45750, '+', 'fixX')]
12 	[('16128040', 47246, 47776, '+', 'kefF'), ('16128041', 47769, 49631, '+', 'kefC')]
13 	[('16128043', 50380, 51222, '-', 'apaH'), ('16128044', 51229, 51606, '-', 'apaG'), ('16128045', 51609, 52430, '-', 'rsmA'), ('16128046', 52427, 53416, '-', 'pdxA'), ('16128047', 53416, 54702, '-', 'surA')]
14 	[('16128052', 59687, 60346, '-', 'rluA'), ('16128053', 60358, 63264, '-', 'rapA')]
15 	[('16128056', 66835, 68337, '-', 'araA'), ('16128057', 68348, 70048, '-', 'araB')]
16 	[('16128060', 72229, 72927, '-', 'thiQ'), ('16128061', 72911, 74521, '-', 'thiP'), ('16128062', 74497, 75480, '-', 'thiB')]
17 	[('16128065', 78848, 79453, '-', 'leuD'), ('16128066', 79464, 80864, '-', 'leuC'), ('90111082', 80867, 81958, '-', 'leuB'), ('16128068', 81958, 83529, '-', 'leuA')]
18 	[('90111084', 85630, 87354, '+', 'ilvI'), ('16128071', 87357, 87848, '+', 'ilvH')]
19 	[('16128074', 89634, 90092, '+', 'mraZ'), ('16128075', 90094, 91035, '+', 'rsmH'), ('16128076', 91032, 91397, '+', 'ftsL'), ('16128077', 91413, 93179, '+', 'ftsI'), ('16128078', 93166, 94653, '+', 'murE'), ('16128079', 94650, 96008, '+', 'murF'), ('16128080', 96002, 97084, '+', 'mraY'), ('16128081', 97087, 98403, '+', 'murD'), ('16128082', 98403, 99647, '+', 'ftsW'), ('16128083', 99644, 100711, '+', 'murG')]
20 	[('16128084', 100765, 102240, '+', 'murC'), ('16128085', 102233, 103153, '+', 'ddlB'), ('16128086', 103155, 103985, '+', 'ftsQ'), ('16128087', 103982, 105244, '+', 'ftsA')]
21 	[('16128094', 111649, 111846, '-', 'yacG'), ('16128095', 111856, 112599, '-', 'yacF'), ('16128096', 112599, 113219, '-', 'coaE')]
22 	[('16128099', 114522, 115724, '-', 'hofC'), ('16128100', 115714, 117099, '-', 'hofB'), ('16128101', 117109, 117549, '-', 'ppdD')]
23 	[('16128103', 118733, 119284, '+', 'ampD'), ('16128104', 119281, 120135, '+', 'ampE')]
24 	[('16128107', 123017, 125680, '+', 'aceE'), ('16128108', 125695, 127587, '+', 'aceF')]
25 	[('16128113', 134788, 135582, '-', 'speD'), ('16128114', 135598, 136464, '-', 'speE')]
26 	[('16128120', 142779, 143705, '+', 'yadG'), ('16128121', 143702, 144472, '+', 'yadH')]
